"timestamp","user_id","recommendations","response_time_ms","num_recommendations"
"2025-04-04 16:34:26","160","Pulp Fiction (1994)|Brazil (1985)|Taxi Driver (1976)|Blade Runner (1982)|All About My Mother (Todo sobre mi madre) (1999)|Fight Club (1999)|Schindler's List (1993)|Gattaca (1997)|20,000 Leagues Under the Sea (1954)|Exorcist, The (1973)|Seven Samurai (Shichinin no samurai) (1954)|Blood Simple (1984)|Back to the Future (1985)|2001: A Space Odyssey (1968)|Sixth Sense, The (1999)|Platoon (1986)|Godfather, The (1972)|Crow, The (1994)|Apollo 13 (1995)|Babe (1995)","107","20"
"2025-04-04 16:34:30","11","Lawrence of Arabia (1962)|Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)|Back to the Future (1985)|Star Wars: Episode IV - A New Hope (1977)|Eternal Sunshine of the Spotless Mind (2004)|Fugitive, The (1993)|Apocalypse Now (1979)|Amadeus (1984)|Goodfellas (1990)|One Flew Over the Cuckoo's Nest (1975)|Star Wars: Episode V - The Empire Strikes Back (1980)|Schindler's List (1993)|Aliens (1986)|Princess Bride, The (1987)|Great Dictator, The (1940)|Die Hard (1988)|Jaws (1975)|Shawshank Redemption, The (1994)|Matrix, The (1999)|Seven Samurai (Shichinin no samurai) (1954)","70","20"
"2025-04-04 16:34:33","350","Shawshank Redemption, The (1994)|Lawrence of Arabia (1962)|Cool Hand Luke (1967)|Crumb (1994)|Amadeus (1984)|Rear Window (1954)|12 Angry Men (1957)|Guess Who's Coming to Dinner (1967)|Departed, The (2006)|Casablanca (1942)|Schindler's List (1993)|Rosemary's Baby (1968)|Goodfellas (1990)|Hoop Dreams (1994)|Philadelphia Story, The (1940)|Life Is Beautiful (La Vita è bella) (1997)|Star Wars: Episode VI - Return of the Jedi (1983)|Forrest Gump (1994)|Bridge on the River Kwai, The (1957)|Dark Knight, The (2008)","69","20"
"2025-04-04 16:34:36","35","Third Man, The (1949)|Amadeus (1984)|Beautiful Mind, A (2001)|Raging Bull (1980)|North by Northwest (1959)|Rear Window (1954)|Bridge on the River Kwai, The (1957)|Inglourious Basterds (2009)|Seven (a.k.a. Se7en) (1995)|King's Speech, The (2010)|Life Is Beautiful (La Vita è bella) (1997)|Usual Suspects, The (1995)|Back to the Future (1985)|Miracle on 34th Street (1947)|Dark Knight, The (2008)|Lawrence of Arabia (1962)|Shawshank Redemption, The (1994)|Three Billboards Outside Ebbing, Missouri (2017)|American History X (1998)|Star Wars: Episode IV - A New Hope (1977)","72","20"
"2025-04-04 16:44:56","2","Lawrence of Arabia (1962)|Wallace & Gromit: The Wrong Trousers (1993)|In the Name of the Father (1993)|Apocalypse Now (1979)|Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)|Usual Suspects, The (1995)|This Is Spinal Tap (1984)|Cool Hand Luke (1967)|Goodfellas (1990)|Unforgiven (1992)|Rear Window (1954)|Fargo (1996)|Guess Who's Coming to Dinner (1967)|Dark Knight, The (2008)|Casablanca (1942)|Lord of the Rings: The Return of the King, The (2003)|Taxi Driver (1976)|Maltese Falcon, The (1941)|Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)|Raising Arizona (1987)","147","20"
"2025-04-04 16:44:57","23","Shawshank Redemption, The (1994)|Usual Suspects, The (1995)|Rear Window (1954)|Trainspotting (1996)|North by Northwest (1959)|Notorious (1946)|Guess Who's Coming to Dinner (1967)|Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)|Lawrence of Arabia (1962)|American History X (1998)|Outlaw Josey Wales, The (1976)|Requiem for a Dream (2000)|Reservoir Dogs (1992)|Secrets & Lies (1996)|Chinatown (1974)|Casablanca (1942)|Ran (1985)|Forrest Gump (1994)|Apocalypse Now (1979)|Seventh Seal, The (Sjunde inseglet, Det) (1957)","76","20"
"2025-04-04 16:46:08","90","Thank You for Smoking (2006)|Guess Who's Coming to Dinner (1967)|Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)|High Noon (1952)|Rear Window (1954)|Lawrence of Arabia (1962)|Philadelphia Story, The (1940)|My Fair Lady (1964)|Wallace & Gromit: The Wrong Trousers (1993)|Usual Suspects, The (1995)|Casablanca (1942)|Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)|Unforgiven (1992)|Green Mile, The (1999)|Boogie Nights (1997)|Dark Knight, The (2008)|Finding Nemo (2003)|Manchurian Candidate, The (1962)|Kiss Kiss Bang Bang (2005)|Outlaw Josey Wales, The (1976)","131","20"
"2025-04-04 17:51:51","1","Crumb (1994)|Shawshank Redemption, The (1994)|In the Name of the Father (1993)|Singin' in the Rain (1952)|North by Northwest (1959)|Reservoir Dogs (1992)|Wallace & Gromit: The Wrong Trousers (1993)|Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)|Lawrence of Arabia (1962)|Amadeus (1984)|Raging Bull (1980)|Great Escape, The (1963)|High Noon (1952)|Raising Arizona (1987)|Rosemary's Baby (1968)|Life Is Beautiful (La Vita è bella) (1997)|Go (1999)|Green Mile, The (1999)|Boondock Saints, The (2000)|Beautiful Mind, A (2001)","125","20"
"2025-04-04 17:53:20","1","Crumb (1994)|Shawshank Redemption, The (1994)|In the Name of the Father (1993)|Singin' in the Rain (1952)|North by Northwest (1959)|Reservoir Dogs (1992)|Wallace & Gromit: The Wrong Trousers (1993)|Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)|Lawrence of Arabia (1962)|Amadeus (1984)|Raging Bull (1980)|Great Escape, The (1963)|High Noon (1952)|Raising Arizona (1987)|Rosemary's Baby (1968)|Life Is Beautiful (La Vita è bella) (1997)|Go (1999)|Green Mile, The (1999)|Boondock Saints, The (2000)|Beautiful Mind, A (2001)","125","20"
"2025-04-04 17:59:19","1","Crumb (1994)|Shawshank Redemption, The (1994)|In the Name of the Father (1993)|Singin' in the Rain (1952)|North by Northwest (1959)|Reservoir Dogs (1992)|Wallace & Gromit: The Wrong Trousers (1993)|Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)|Lawrence of Arabia (1962)|Amadeus (1984)|Raging Bull (1980)|Great Escape, The (1963)|High Noon (1952)|Raising Arizona (1987)|Rosemary's Baby (1968)|Life Is Beautiful (La Vita è bella) (1997)|Go (1999)|Green Mile, The (1999)|Boondock Saints, The (2000)|Beautiful Mind, A (2001)","112","20"
"2025-04-04 18:09:21","99","Lawrence of Arabia (1962)|Wallace & Gromit: The Wrong Trousers (1993)|Usual Suspects, The (1995)|Boondock Saints, The (2000)|Reservoir Dogs (1992)|Unforgiven (1992)|Groundhog Day (1993)|Seven Samurai (Shichinin no samurai) (1954)|Memento (2000)|Lost in Translation (2003)|Young Frankenstein (1974)|Fight Club (1999)|Philadelphia Story, The (1940)|Godfather, The (1972)|Trainspotting (1996)|Raising Arizona (1987)|Grand Day Out with Wallace and Gromit, A (1989)|Shawshank Redemption, The (1994)|Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)|Departed, The (2006)","86","20"
